DATE,VALUE,VALUE_COMP,VARV,VARP,VARP_COMP,VARP_VAR,VALUE_D,VARV_D,VARP_D,TEXT,DATE_EXTRACT
2020-01-22,510,0.0,510.0,inf,0.0,inf,510,+510,+inf%,510 active cases as of 2020-01-22<br> (+inf% vs yesterday),2022-03-17 09:35:14+0100
2020-01-23,607,510.0,97.0,0.19019607843137254,inf,-inf,607,+97,+19.02%,607 active cases as of 2020-01-23<br> (+19.02% vs yesterday),2022-03-17 09:35:14+0100
2020-01-24,879,607.0,272.0,0.44810543657331137,0.19019607843137254,0.2579093581419388,879,+272,+44.81%,879 active cases as of 2020-01-24<br> (+44.81% vs yesterday),2022-03-17 09:35:14+0100
2020-01-25,1353,879.0,474.0,0.5392491467576792,0.44810543657331137,0.09114371018436784,1 353,+474,+53.92%,1 353 active cases as of 2020-01-25<br> (+53.92% vs yesterday),2022-03-17 09:35:14+0100
2020-01-26,2008,1353.0,655.0,0.48410938654841096,0.5392491467576792,-0.05513976020926825,2 008,+655,+48.41%,2 008 active cases as of 2020-01-26<br> (+48.41% vs yesterday),2022-03-17 09:35:14+0100
2020-01-27,2782,2008.0,774.0,0.3854581673306773,0.48410938654841096,-0.09865121921773368,2 782,+774,+38.55%,2 782 active cases as of 2020-01-27<br> (+38.55% vs yesterday),2022-03-17 09:35:14+0100
2020-01-28,5341,2782.0,2559.0,0.9198418404025881,0.3854581673306773,0.5343836730719108,5 341,+2 559,+91.98%,5 341 active cases as of 2020-01-28<br> (+91.98% vs yesterday),2022-03-17 09:35:14+0100
2020-01-29,5909,5341.0,568.0,0.10634712600636585,0.9198418404025881,-0.8134947143962222,5 909,+568,+10.63%,5 909 active cases as of 2020-01-29<br> (+10.63% vs yesterday),2022-03-17 09:35:14+0100
2020-01-30,7921,5909.0,2012.0,0.3404975461160941,0.10634712600636585,0.23415042010972825,7 921,+2 012,+34.05%,7 921 active cases as of 2020-01-30<br> (+34.05% vs yesterday),2022-03-17 09:35:14+0100
2020-01-31,9489,7921.0,1568.0,0.19795480368640322,0.3404975461160941,-0.1425427424296909,9 489,+1 568,+19.80%,9 489 active cases as of 2020-01-31<br> (+19.80% vs yesterday),2022-03-17 09:35:14+0100
2020-02-01,11492,9489.0,2003.0,0.21108652123511434,0.19795480368640322,0.01313171754871112,11 492,+2 003,+21.11%,11 492 active cases as of 2020-02-01<br> (+21.11% vs yesterday),2022-03-17 09:35:14+0100
2020-02-02,15949,11492.0,4457.0,0.38783501566306994,0.21108652123511434,0.1767484944279556,15 949,+4 457,+38.78%,15 949 active cases as of 2020-02-02<br> (+38.78% vs yesterday),2022-03-17 09:35:14+0100
2020-02-03,18834,15949.0,2885.0,0.18088908395510692,0.38783501566306994,-0.20694593170796302,18 834,+2 885,+18.09%,18 834 active cases as of 2020-02-03<br> (+18.09% vs yesterday),2022-03-17 09:35:14+0100
2020-02-04,22550,18834.0,3716.0,0.19730275034512051,0.18088908395510692,0.016413666390013598,22 550,+3 716,+19.73%,22 550 active cases as of 2020-02-04<br> (+19.73% vs yesterday),2022-03-17 09:35:14+0100
2020-02-05,25950,22550.0,3400.0,0.15077605321507762,0.19730275034512051,-0.0465266971300429,25 950,+3 400,+15.08%,25 950 active cases as of 2020-02-05<br> (+15.08% vs yesterday),2022-03-17 09:35:14+0100
2020-02-06,28679,25950.0,2729.0,0.10516377649325626,0.15077605321507762,-0.04561227672182136,28 679,+2 729,+10.52%,28 679 active cases as of 2020-02-06<br> (+10.52% vs yesterday),2022-03-17 09:35:14+0100
2020-02-07,31665,28679.0,2986.0,0.10411799574601625,0.10516377649325626,-0.0010457807472400021,31 665,+2 986,+10.41%,31 665 active cases as of 2020-02-07<br> (+10.41% vs yesterday),2022-03-17 09:35:14+0100
2020-02-08,33708,31665.0,2043.0,0.06451918522027475,0.10411799574601625,-0.039598810525741504,33 708,+2 043,+6.45%,33 708 active cases as of 2020-02-08<br> (+6.45% vs yesterday),2022-03-17 09:35:14+0100
2020-02-09,36009,33708.0,2301.0,0.0682627269490922,0.06451918522027475,0.003743541728817454,36 009,+2 301,+6.83%,36 009 active cases as of 2020-02-09<br> (+6.83% vs yesterday),2022-03-17 09:35:14+0100
2020-02-10,37809,36009.0,1800.0,0.04998750312421894,0.0682627269490922,-0.01827522382487326,37 809,+1 800,+5.00%,37 809 active cases as of 2020-02-10<br> (+5.00% vs yesterday),2022-03-17 09:35:14+0100
2020-02-11,39017,37809.0,1208.0,0.03195006479938639,0.04998750312421894,-0.018037438324832553,39 017,+1 208,+3.20%,39 017 active cases as of 2020-02-11<br> (+3.20% vs yesterday),2022-03-17 09:35:14+0100
2020-02-12,38963,39017.0,-54.0,-0.0013840120972909245,0.03195006479938639,-0.03333407689667731,38 963,-54,-0.14%,38 963 active cases as of 2020-02-12<br> (-0.14% vs yesterday),2022-03-17 09:35:14+0100
2020-02-13,52719,38963.0,13756.0,0.353052896337551,-0.0013840120972909245,0.35443690843484194,52 719,+13 756,+35.31%,52 719 active cases as of 2020-02-13<br> (+35.31% vs yesterday),2022-03-17 09:35:14+0100
2020-02-14,57328,52719.0,4609.0,0.0874257857698363,0.353052896337551,-0.2656271105677147,57 328,+4 609,+8.74%,57 328 active cases as of 2020-02-14<br> (+8.74% vs yesterday),2022-03-17 09:35:14+0100
2020-02-15,57992,57328.0,664.0,0.011582472788166341,0.0874257857698363,-0.07584331298166996,57 992,+664,+1.16%,57 992 active cases as of 2020-02-15<br> (+1.16% vs yesterday),2022-03-17 09:35:14+0100
2020-02-16,58601,57992.0,609.0,0.010501448475651815,0.011582472788166341,-0.0010810243125145263,58 601,+609,+1.05%,58 601 active cases as of 2020-02-16<br> (+1.05% vs yesterday),2022-03-17 09:35:14+0100
2020-02-17,58818,58601.0,217.0,0.0037030084810839407,0.010501448475651815,-0.006798439994567874,58 818,+217,+0.37%,58 818 active cases as of 2020-02-17<br> (+0.37% vs yesterday),2022-03-17 09:35:14+0100
2020-02-18,58795,58818.0,-23.0,-0.00039103675745520076,0.0037030084810839407,-0.004094045238539142,58 795,-23,-0.04%,58 795 active cases as of 2020-02-18<br> (-0.04% vs yesterday),2022-03-17 09:35:14+0100
2020-02-19,57409,58795.0,-1386.0,-0.023573433115060806,-0.00039103675745520076,-0.023182396357605606,57 409,-1 386,-2.36%,57 409 active cases as of 2020-02-19<br> (-2.36% vs yesterday),2022-03-17 09:35:14+0100
2020-02-20,55787,57409.0,-1622.0,-0.028253409744116775,-0.023573433115060806,-0.004679976629055969,55 787,-1 622,-2.83%,55 787 active cases as of 2020-02-20<br> (-2.83% vs yesterday),2022-03-17 09:35:14+0100
2020-02-21,55700,55787.0,-87.0,-0.0015595031100435585,-0.028253409744116775,0.026693906634073217,55 700,-87,-0.16%,55 700 active cases as of 2020-02-21<br> (-0.16% vs yesterday),2022-03-17 09:35:14+0100
2020-02-22,53257,55700.0,-2443.0,-0.04385996409335727,-0.0015595031100435585,-0.042300460983313706,53 257,-2 443,-4.39%,53 257 active cases as of 2020-02-22<br> (-4.39% vs yesterday),2022-03-17 09:35:14+0100
2020-02-23,53123,53257.0,-134.0,-0.002516101169799275,-0.04385996409335727,0.04134386292355799,53 123,-134,-0.25%,53 123 active cases as of 2020-02-23<br> (-0.25% vs yesterday),2022-03-17 09:35:14+0100
2020-02-24,51699,53123.0,-1424.0,-0.02680571503868381,-0.002516101169799275,-0.024289613868884535,51 699,-1 424,-2.68%,51 699 active cases as of 2020-02-24<br> (-2.68% vs yesterday),2022-03-17 09:35:14+0100
2020-02-25,49796,51699.0,-1903.0,-0.03680922261552448,-0.02680571503868381,-0.01000350757684067,49 796,-1 903,-3.68%,49 796 active cases as of 2020-02-25<br> (-3.68% vs yesterday),2022-03-17 09:35:14+0100
2020-02-26,48232,49796.0,-1564.0,-0.0314081452325488,-0.03680922261552448,0.005401077382975683,48 232,-1 564,-3.14%,48 232 active cases as of 2020-02-26<br> (-3.14% vs yesterday),2022-03-17 09:35:14+0100
